Scenario;LB;UB;Time
100.0;-9.999992946439e9;550590.1094922709;7.351000070571899
100.0;-1.8251884987686533e7;98087.91330330545;15.687000036239624
100.0;-5.551641609779874e6;186576.2023034479;21.831000089645386
100.0;-5.114115424023907e6;99981.25409295454;27.860000133514404
100.0;-2.737993161975502e6;26560.108275922714;34.41799998283386
100.0;-1.4832406465347246e6;412013.09475689183;39.52400016784668
100.0;-923890.2902352547;28340.48413721099;45.42400002479553
100.0;-8925.199918754453;204579.5949516773;51.68500018119812
100.0;-8916.497003074637;77077.52980967345;58.42400002479553
100.0;-8868.199688217093;29189.016374406194;64.84800004959106
100.0;-7969.657605225348;19066.186247703496;70.98699998855591
100.0;6717.680685624277;156177.15014456274;79.22800016403198
100.0;6718.226852552876;156232.44146873875;87.09599995613098
100.0;6718.823169225954;28815.71353163784;94.43300008773804
100.0;6723.728814398875;32794.278553571676;101.52400016784668
100.0;6763.519893704729;125030.18199492054;109.66200017929077
100.0;6763.774165008856;15449.847679388844;116.89199995994568
100.0;6884.804518747532;16688.269085258922;123.37199997901917
100.0;6951.674950135077;15391.275251945095;130.46399998664856
100.0;7295.442942686519;14558.584835938791;137.70900011062622
100.0;7406.438195271612;14888.251362235547;144.15900015830994
100.0;7863.830140593999;112512.46120465653;151.7720000743866
100.0;7881.704815906909;33756.841209983315;158.71000003814697
100.0;7887.670631781044;21232.41423276254;165.56500005722046
100.0;7902.864844115344;13576.225626624444;172.93200016021729
100.0;9234.619567822847;17423.74811695441;179.7850000858307
100.0;10128.301383486125;13793.60689147866;187.52800011634827
100.0;10422.315472399237;14097.569299089755;194.10000014305115
100.0;11038.5793635102;37853.21557664235;202.61700010299683
100.0;11040.00582181789;13562.737763292984;211.33300018310547
100.0;11173.626252399887;12878.467945660823;218.84100008010864
100.0;11209.313360377195;36629.94870303949;226.71900010108948
100.0;11209.818830759794;12396.357642371271;234.4650001525879
100.0;11269.703014667015;11701.804534071796;242.43300008773804
100.0;11321.018890311181;11536.473359838248;249.90000009536743
100.0;11334.253059995586;11475.090235213213;257.7539999485016
100.0;11379.149255285047;11522.2549843999;265.7109999656677
100.0;11395.739921466584;11426.5669735492;273.2239999771118
100.0;11403.275519475164;11441.826462728395;280.6510000228882
100.0;11403.771495235938;11417.424218142882;288.0610001087189
100.0;11406.258735558691;11418.48703671748;296.0600001811981
100.0;11407.167001235184;11414.612750528664;303.7720000743866
100.0;11408.895189090777;11414.254896588918;311.91200017929077
100.0;11410.095226854402;11410.69317832367;319.6340000629425
100.0;11410.274984153608;11410.553842779584;327.797000169754
100.0;11410.30917011685;11410.531183105697;335.3010001182556
100.0;11410.350621504129;11410.50815178257;343.12199997901917
