Scenario;LB;UB;Time
700.0;-9.999992946439026e9;549026.0878865398;37.88599991798401
700.0;-1.820283437941327e7;98230.66607756747;77.82399988174438
700.0;-5.57400034199098e6;137352.3413949561;117.60599994659424
700.0;-5.163106037012603e6;95744.3470082694;155.70199990272522
700.0;-2.7612253268041075e6;142416.4243894849;199.13699984550476
700.0;-2.7611351912160134e6;16621.872989147356;244.02099990844727
700.0;-114337.64340954818;448950.455291598;281.26799988746643
700.0;-114094.11357531624;80950.31861469518;321.28599977493286
700.0;-40389.30359228015;77446.51812061986;365.5329999923706
700.0;-40278.51119817166;37635.628205504196;405.4379999637604
700.0;8206.238456182595;260964.95056495667;453.8989999294281
700.0;8362.225017842602;114565.02282937421;502.73099994659424
700.0;8366.114555829605;100154.38076587369;550.0879998207092
700.0;8385.778807850094;23917.402250175917;596.1769998073578
700.0;8401.15349918263;52764.20296086662;641.8869998455048
700.0;8434.0333704215;15907.218594988342;687.5709998607635
700.0;8851.9802498034;16972.598328460652;731.8239998817444
700.0;9330.337895533155;16105.860328138253;773.9139997959137
700.0;9684.44508401697;164569.42494459165;821.4249999523163
700.0;9698.415708761577;15327.84300305671;864.9389998912811
700.0;10455.101394246694;60283.56395356641;918.7649998664856
700.0;10469.142947366556;13358.698533939634;967.2689998149872
700.0;10715.670925830593;12952.587405294023;1023.4769999980927
700.0;10789.90468814874;12351.366349840087;1073.7649998664856
700.0;10915.346499151903;12967.800995633912;1125.2689998149872
700.0;11148.486419129546;23964.125579956188;1183.271999835968
700.0;11199.86262303777;12841.390167839245;1239.0599999427795
700.0;11220.78911063654;12337.125017606162;1288.7749998569489
700.0;11309.939534021345;112046.86286557035;1344.7929999828339
700.0;11317.17967450865;11983.03789921142;1392.8089997768402
700.0;11340.707445522887;12048.649474332433;1441.6749999523163
700.0;11384.397502988892;11748.801094530143;1491.2709999084473
700.0;11445.324873400934;25787.709155737797;1551.9599997997284
700.0;11446.004870129062;13755.293495807475;1606.7139999866486
700.0;11451.330887261614;11570.252263478595;1657.7259998321533
700.0;11471.656415436206;11570.671505802504;1711.5069999694824
700.0;11493.664332347693;11547.385005362188;1771.5169999599457
700.0;11497.02235754568;11536.537091822001;1825.5319998264313
700.0;11504.855082604394;11520.778430776598;1880.9909999370575
700.0;11507.205527520808;11513.231018833569;1933.5599999427795
700.0;11509.322334721195;11515.257516977623;1997.7019999027252
700.0;11509.740845836492;11513.164738436846;2052.803999900818
700.0;11510.18633070779;11510.379955828406;2106.9319999217987
