Scenario;LB;UB;Time
500.0;-9.999992946439e9;548688.8769587773;28.581000089645386
500.0;-1.838715618052993e7;98018.54229583777;58.83400011062622
500.0;-5.548070426670257e6;129226.12439701756;89.96300005912781
500.0;-5.154924276729443e6;95382.2668977794;120.47200012207031
500.0;-2.747618251927755e6;142832.3154598659;154.56699991226196
500.0;-2.747526962794546e6;16570.01533214219;187.82200002670288
500.0;-111364.58438695685;449464.6159702338;215.18799996376038
500.0;-111125.25139331774;80742.59053828627;244.93700003623962
500.0;-24662.146329439965;26681.528426320496;275.12800002098083
500.0;8926.834067549431;256870.99895332553;309.92400002479553
500.0;8948.738044456875;205338.67320652187;342.96399998664856
500.0;9078.356869620171;24761.10979912254;376.86100006103516
500.0;9125.180142945721;14847.122512192931;409.78600001335144
500.0;9248.830644183945;33185.58773894457;444.1170001029968
500.0;9323.326432643622;14646.750705166214;477.4760000705719
500.0;9708.288588980153;48050.48771730968;510.71200013160706
500.0;9709.03287997284;12888.650199370479;543.9560000896454
500.0;9858.227955895078;85967.84666502586;580.694000005722
500.0;9865.273174344986;12694.246392410008;615.2890000343323
500.0;10290.19286157836;54726.0618465617;654.9140000343323
500.0;10296.993770317784;12978.219391635083;693.8129999637604
500.0;10525.642795778722;107153.02720581809;738.6630001068115
500.0;10572.827472410874;31562.313918343632;776.8959999084473
500.0;10600.191456823357;14101.836037475889;812.3980000019073
500.0;10625.56922055256;12472.91911527983;847.9049999713898
500.0;10727.819639272742;12461.102062801572;882.3020000457764
500.0;10915.196310142204;12023.42070356667;915.8340001106262
500.0;11083.862524129892;12387.54891898877;954.2450001239777
500.0;11270.843716045694;24821.534586529822;995.7369999885559
500.0;11273.234548425935;11971.015155181818;1034.3710000514984
500.0;11362.55150910895;16293.565536767503;1076.026999950409
500.0;11365.49196042549;11726.290879211034;1114.8559999465942
500.0;11409.864824766593;11690.886252140906;1157.2360000610352
500.0;11415.408915907836;11554.508009692569;1194.87299990654
500.0;11449.226706443515;11530.589888455881;1237.6400001049042
500.0;11459.270123374241;11518.683826966682;1278.1510000228882
500.0;11470.968362796819;11500.440305440205;1320.095999956131
500.0;11477.737432682949;11486.953453562493;1360.9700000286102
500.0;11479.988652977529;11486.38232685976;1401.7220001220703
500.0;11482.033760138673;11488.14452206432;1444.723000049591
500.0;11482.432650881186;11485.515362053407;1486.5840001106262
500.0;11482.813071130098;11483.035846294046;1525.2379999160767
500.0;11482.892716341104;11482.931243733627;1564.7170000076294
